column0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,writers,directors
253,tt0032156,The Story of the Last Chrysanthemum,Zangiku monogatari,1939,\N,143,3600.0,true,"nm0442736,nm0613527,nm0406808",nm0003226
272,tt0032904,The Philadelphia Story,,\N,1940,112,66874.0,true,"nm0829330,nm0058129,nm0759029",nm0002030
276,tt0033022,Sáps át Séá,Saps at Sea,1940,\N,56,2766.0,true,"nm0736778,nm0012148,nm0695456,nm0003377,nm0491048",nm0235066
279,tt0033152,The Thief of Bagdad,,\N,1940,106,12840.0,true,"nm0539942,nm0083742,nm0000067","nm0003490,nm0003836,nm0924065,nm0466099,nm0466113,nm0580017"
300,tt0033945,Never Give a Sucker an Even Break,,1941,\N,71,2315.0,true,"nm0627454,nm0152256,nm0001211",nm0166836
317,tt0034862,Holiday Inn,Holiday Inn,1942,\N,100,14436.0,true,"nm0083125,nm0723418,nm0000927,nm0391750,nm0492635,nm0616893,nm0841702","nm0762263,nm0020980"
348,tt0036260,Phantom Lady,Phantom Lady,1944,\N,87,4833.0,true,"nm0774441,nm0941280",nm0802563
357,tt0036716,Cobra Woman,Cobra Woman,1944,\N,71,1101.0,false,"nm0507210,nm0112218,nm0201405",nm0802563
367,tt0037055,The Mask of Dimitrios,,1944,\N,95,3530.0,true,"nm0344246,nm0001907",nm0624535
390,tt0037913,Mildréd Piércé,Mildred Pierce,1945,\N,111,24727.0,true,"nm0532030,nm0128906,nm0001203,nm0344391,nm0540816,nm0682787,nm0877957,nm0928603,nm0932163",nm0002031
391,tt0037939,The Naughty Nineties,The Naughty Nineties,1945,\N,76,1957.0,true,"nm0367060,nm0335471,nm0430578,nm0277333,nm0012148,nm0115669",nm0946391
394,tt0038057,Scarlet Street,,1945,\N,102,15930.0,true,"nm0478579,nm0610207,nm0629580",nm0000485
407,tt0038733,Stáirwáy tớ Héávén,A Matter of Life and Death,1946,\N,104,21218.0,true,"nm0003836,nm0696247","nm0003836,nm0696247"
428,tt0039305,Dead Reckoning,,\N,1947,100,7368.0,true,"nm0308177,nm0279795,nm0729694,nm0010987,nm0081126",nm0188669
437,tt0039631,Monsieur Verdoux,,1947,\N,124,16962.0,true,"nm0000122,nm0000080",nm0000122
442,tt0039676,The October Man,The October Man,\N,1947,95,1260.0,true,nm0001907,nm0001928
466,tt0040626,My Dear Secretary,My Dear Secretary,1948,\N,94,,false,nm0552058,nm0552058
471,tt0040724,Réd Rivér,,1948,\N,133,30065.0,true,"nm0153698,nm0773660","nm0001328,nm0744504"
473,tt0040737,Bitter Rice,,1949,\N,108,4052.0,true,"nm0211459,nm0515491,nm0699750,nm0959617,nm0615889,nm0673773,nm0598101,nm0598102",nm0211459
474,tt0040795,Sitting Pretty,,1948,\N,83,2332.0,true,"nm0378540,nm0202600",nm0485943
475,tt0040843,The Street with No Name,The Street with No Name,1948,\N,91,2910.0,true,"nm0459067,nm0257143",nm0445033
480,tt0040970,The Winslow Boy,,1948,\N,117,1422.0,true,"nm0711905,nm0344645",nm0002190
511,tt0042395,Dévil's Dớớrwáy,,1950,\N,84,1544.0,true,nm0873613,nm0542649
513,tt0042451,Father of the Bride,,1950,\N,92,10941.0,true,"nm0329304,nm0352443,nm0834117",nm0591486
517,tt0042742,Mister 880,Mister 880,1950,\N,90,1519.0,true,"nm0728307,nm0571306",nm0332539
519,tt0042792,No Way Out,No Way Out,1950,\N,106,4931.0,true,"nm0000581,nm0760488,nm0948634",nm0000581
528,tt0043278,An American in Paris,,1951,\N,114,32528.0,true,nm0503585,nm0591486
540,tt0043769,The Magic Box,,1951,\N,118,1241.0,true,"nm0021504,nm0001907",nm0099589
545,tt0043918,Thé Littlé Wớrld ớf Dớn Cámillớ,Don Camillo,1952,\N,107,4348.0,true,"nm0345363,nm0245213,nm0054748,nm0080755",nm0245213
575,tt0045205,Sudden Fear,Sudden Fear,1952,\N,110,5993.0,true,"nm0168829,nm0809731,nm0792720,nm0001076",nm0588183
583,tt0045554,Welcome Mr. Marshall!,"Bienvenido, Mister Marshall!",1953,\N,78,4153.0,true,"nm0054219,nm0305557,nm0586263",nm0305557
586,tt0045793,From Here to Eternity,,1953,\N,118,45651.0,true,"nm0850168,nm0428296",nm0003593
623,tt0047494,The Silver Chalice,,1954,\N,142,1562.0,false,"nm0182362,nm0760488",nm0767701
629,tt0047647,Vera Cruz,Vera Cruz,1954,\N,94,9802.0,true,"nm0452134,nm0916139,nm0153698",nm0000736
645,tt0048337,A Man Called Peter,A Man Called Peter,1955,\N,119,1007.0,true,"nm0341178,nm0550798",nm0467396
697,tt0049783,The Forty-First,Sorok pervyy,\N,1956,88,1484.0,true,"nm0464440,nm0492239",nm0161055
706,tt0050105,An Affair to Remember,,\N,1957,115,29423.0,true,"nm0202681,nm0564970,nm0186118,nm0829330",nm0564970
713,tt0050356,The Enemy Below,,1957,\N,98,10685.0,true,"nm0562606,nm0713454",nm0694090
730,tt0050858,The Pride and the Passion,,1957,\N,132,2733.0,false,"nm0030018,nm0030019,nm0286163,nm0271641",nm0006452
736,tt0051047,The Tall T,,\N,1957,78,5001.0,true,"nm0447944,nm0001465",nm0091430
740,tt0051337,Thé 7th Vớyágé ớf Sinbád,,1958,\N,88,12888.0,true,"nm0463894,nm0366063",nm0432846
746,tt0051507,Curse of the Faceless Man,,\N,1958,67,1035.0,false,nm0003198,nm0128715
766,tt0052151,Run Silent Run Deep,,1958,\N,93,11169.0,true,"nm0310775,nm0063459",nm0936404
768,tt0052188,She Gods of Shark Reef,She Gods of Shark Reef,1958,\N,63,1002.0,false,"nm0384613,nm0831580",nm0000339
789,tt0052735,The Devil's Disciple,,1959,\N,83,2382.0,true,"nm0226538,nm0452134,nm0789737","nm0533241,nm0357891"
807,tt0053121,Fires on the Plain,,1959,\N,108,,true,"nm0648958,nm0905271",nm0406728
811,tt0053183,Pork Chop Hill,,1959,\N,97,4527.0,true,"nm1061628,nm0916139",nm0587277
815,tt0053242,Sápphiré,,1959,\N,92,1730.0,true,"nm0337944,nm0375355",nm0213136
838,tt0053765,The Goddess,,1960,\N,93,2182.0,true,"nm1830687,nm0006249",nm0006249
840,tt0053796,The Entertainer,The Entertainer,1960,\N,96,3278.0,true,"nm0651570,nm0460600",nm0724798
846,tt0053967,The Young One,The Young One,1960,\N,96,2716.0,true,"nm0560249,nm0124947,nm0000320",nm0000320
858,tt0054189,Purple Noon,,1960,\N,118,15669.0,true,"nm0383604,nm0167496,nm0337541",nm0167496
872,tt0054387,The Time Machine,,1960,\N,103,39561.0,true,"nm0241949,nm0920229",nm0657162
907,tt0055294,The Phantom Planet,,1961,\N,82,2898.0,false,"nm0854278,nm0208605,nm0311374,nm0550777",nm0550777
938,tt0056059,Hatari!,,1962,\N,157,12556.0,true,"nm0102824,nm0475823",nm0001328
947,tt0056215,Mamma Roma,,1962,\N,106,8890.0,true,nm0001596,nm0001596
957,tt0056537,Subarnarekha,,1965,\N,143,1035.0,true,"nm0080369,nm0315547,nm0422587",nm0315547
962,tt0056732,The Exterminating Angel,El ángel exterminador,1962,\N,95,32160.0,true,"nm0000320,nm0017274",nm0000320
977,tt0057180,The Incredible Journey,,\N,1963,80,4480.0,true,"nm0019282,nm0122484",nm0548529
981,tt0057239,The L-Shaped Room,,1962,\N,126,1905.0,true,"nm0052209,nm0285302",nm0285302
983,tt0057344,Any Number Can Win,,1963,\N,118,3390.0,true,"nm0002192,nm0548579,nm0800631",nm0894577
986,tt0057490,The Servant,The Servant,1963,\N,116,11433.0,true,"nm0056217,nm0560855",nm0521334
994,tt0057579,The Three Lives of Thomasina,,1963,\N,97,2287.0,true,"nm0922589,nm0302904",nm0149548
1002,tt0057859,Monstrosity,,1963,\N,65,2705.0,false,"nm0751500,nm0103084,nm0226946,nm0689565","nm0556140,nm0689565"
1005,tt0057933,The Chalk Garden,,1964,\N,106,2091.0,true,"nm0371088,nm0046779",nm0623768
1010,tt0058050,The Earth Dies Screaming,,1964,\N,62,1727.0,false,nm0189171,nm0279807
1025,tt0058390,The Naked Kiss,,1964,\N,90,7570.0,true,nm0002087,nm0002087
1051,tt0059124,Dr. Goldfoot and the Bikini Machine,,1965,\N,88,2181.0,false,"nm0880493,nm0442099,nm0629839,nm0382384","nm0393094,nm0851537"
1059,tt0059287,How to Stuff a Wild Bikini,How to Stuff a Wild Bikini,1965,\N,93,1450.0,false,"nm0038906,nm0870150",nm0038906
1085,tt0060074,Agent for H.A.R.M.,Agent for H.A.R.M.,1966,\N,84,1444.0,false,nm0731741,nm0652631
1087,tt0060165,A Big Hand for the Little Lady,,1966,\N,95,,true,nm0140987,nm0177034
1099,tt0060474,La Grande Vadrouille,La grande vadrouille,1966,\N,132,17162.0,true,"nm0653620,nm0860019,nm0003340,nm0845969,nm0845966",nm0653620
1105,tt0060635,Dragon Inn,Long men kezhan,1967,\N,111,2728.0,true,nm0002254,nm0002254
1124,tt0061197,Winnetou and the Crossbreed,Winnetou und das Halbblut Apanatschi,1966,\N,90,,false,"nm0562015,nm0219043",nm0679974
1136,tt0061489,Clambake,Clambake,1967,\N,99,,false,nm0114948,nm0618834
1154,tt0061759,The Hellcats,The Hellcats,1968,\N,90,1803.0,false,"nm0404154,nm0805500,nm0924928",nm0805500
1162,tt0061855,When I Am Dead and Gone,,1967,\N,79,1180.0,true,"nm0468999,nm0586235",nm0667870
1164,tt0061955,The Bride Wore Black,,1968,\N,107,9110.0,true,"nm0941280,nm0000076,nm0723827",nm0000076
1166,tt0061994,Plucked,,1968,\N,86,1400.0,false,"nm0033490,nm0703368",nm0703368
1175,tt0062229,Le Samouraï,,1967,\N,105,49085.0,true,"nm0572819,nm0578483,nm0670958",nm0578483
1191,tt0062765,Búllitt,Bullitt,\N,1968,114,66228.0,true,"nm0874450,nm0459067,nm0279302",nm0946811
1201,tt0063023,The Adventures of Goopy and Bagha,,1969,\N,132,2405.0,true,"nm0006249,nm0713082",nm0006249
1214,tt0063288,Be Sick... It's Free,Il medico della mutua,1968,\N,98,1498.0,true,"nm0194864,nm0024847,nm0814773,nm0952737",nm0952737
1233,tt0063845,The Golden Calf,,1968,\N,164,2712.0,true,"nm0407633,nm0678205,nm0796073",nm0796073
1239,tt0064107,A Boy Named Charlie Brown,A Boy Named Charlie Brown,1969,\N,86,4856.0,true,nm0776433,nm0006837
1242,tt0064155,Charro!,,1969,\N,98,1920.0,false,"nm0912766,nm0288996",nm0912766
1281,tt0065446,The Ballad of Cable Hogue,,\N,1970,121,9288.0,true,"nm0186833,nm0672127,nm0206137",nm0001603
1297,tt0065969,The Last Valley,,1971,\N,125,3125.0,true,"nm0165412,nm0681725",nm0165412
1309,tt0066289,The Cruise,Rejs,1970,\N,65,3318.0,true,"nm0058344,nm0323196,nm0438990,nm0686137",nm0686137
1316,tt0066498,The Ear,Ucho,1990,\N,94,2763.0,true,"nm0434189,nm0698311,nm0935156",nm0434189
1347,tt0067108,Delusions of Grandeur,,1971,\N,108,6943.0,true,"nm0653620,nm0860019,nm0003340,nm0401076,nm0176420",nm0653620
1354,tt0067227,Thé Mérchánt ớf Fớúr Séásớns,,1972,\N,88,4616.0,true,nm0001202,nm0001202
1363,tt0067464,The Girl on a Broomstick,Dívka na kosteti,1972,\N,76,1251.0,true,"nm0291626,nm0534181,nm0903474",nm0903474
1378,tt0067814,Love,Szerelem,1971,\N,88,,true,"nm0045880,nm0246370",nm0538652
1385,tt0067995,Women in Cages,,1971,\N,81,1577.0,false,"nm0914323,nm0652356",nm0502479
1402,tt0068370,Children Shouldn't Play with Dead Things,,1972,\N,87,,false,"nm0163706,nm0650276",nm0163706
1425,tt0068918,Manson,,1973,\N,83,1003.0,true,"nm0403124,nm0581216","nm0376801,nm0581216"
1431,tt0069035,The New Land,Nybyggarna,1972,\N,202,4390.0,true,"nm0595002,nm0286873,nm0873296",nm0873296
1439,tt0069289,Snoopy Come Home,Snoopy Come Home,1972,\N,81,4537.0,true,nm0776433,nm0006837
1442,tt0069400,Trafic,Trafic,1971,\N,96,6355.0,true,"nm0004244,nm0481401,nm0351842",nm0004244
1451,tt0069737,Distant Thunder,,1973,\N,101,1458.0,true,"nm0051808,nm0006249",nm0006249
1489,tt0070679,Shaft in Africa,,1973,\N,112,,false,"nm0862781,nm0798103",nm0347086
1506,tt0071230,Blazing Saddles,,1974,\N,93,133304.0,true,"nm0000316,nm0825799,nm0000921,nm0001640,nm0880078",nm0000316
1514,tt0071532,The Gambler,,1974,\N,111,4984.0,true,nm0864812,nm0718554
1515,tt0071544,General Idi Amin Dada: A Self Portrait,,1974,\N,92,1862.0,true,nm0775447,nm0775447
1523,tt0071853,Monty Python and the Holy Grail,Monty Python and the Holy Grail,1975,\N,91,522043.0,true,"nm0001037,nm0000092,nm0001385,nm0000416,nm0001402,nm0001589,nm0540627","nm0000416,nm0001402"
1526,tt0071956,Writtén Ớff,Otpisani,1974,\N,88,1214.0,true,"nm0548644,nm0667641",nm0229210
1529,tt0072245,TNT Jackson,TNT Jackson,1974,\N,72,1181.0,false,"nm0588241,nm0582465",nm0379391
1542,tt0072867,Sharon's Baby,I Don't Want to Be Born,1975,\N,95,1248.0,false,"nm0697157,nm1754515",nm0765856
1577,tt0073691,Tarzoon: Shame of the Jungle,"Tarzoon, la honte de la jungle",1975,\N,85,1224.0,false,"nm0640874,nm0681617,nm0058715,nm0064186","nm0681617,nm0844326"
1600,tt0074478,Émánúéllé in Bángkớk,,1976,\N,92,1045.0,false,"nm0299313,nm0900238,nm0018159",nm0001090
1608,tt0074593,Grizzly,,1976,\N,91,4754.0,false,"nm0281353,nm0791007,nm0697785",nm0320852
1649,tt0075788,"Bruce Lee, the Legend",,1984,\N,88,1092.0,true,nm0147252,nm0387337
1656,tt0075936,Desperate Living,,1977,\N,90,5265.0,true,nm0000691,nm0000691
1661,tt0076009,Exorcist II: The Heretic,Exorcist II: The Heretic,1977,\N,117,23979.0,false,"nm0328911,nm0087861,nm0657853","nm0657853,nm0000958"
1662,tt0076085,A Special Day,,1977,\N,106,13388.0,true,"nm0531431,nm0778633,nm0182454",nm0778633
1678,tt0076649,The Beast in Heat,La bestia in calore,1977,\N,86,,false,"nm0037614,nm0061608",nm0061608
1699,tt0077288,La Cage aux Folles,,\N,1978,97,10532.0,true,"nm0688497,nm0891554,nm0596850,nm0200473",nm0596850
1715,tt0077707,The Hypothesis of the Stolen Painting,L'hypothèse du tableau volé,1978,\N,66,1082.0,true,"nm0749914,nm0460074",nm0749914
1723,tt0077904,The Manitou,The Manitou,1978,\N,104,2804.0,false,"nm0557770,nm0320852,nm0147736,nm0691193",nm0320852
1746,tt0078788,Ápớcálypsé Nớw,,1979,\N,147,636802.0,true,"nm0587518,nm0000338,nm0380282,nm0175676",nm0000338
1751,tt0078935,Cannibal Holocaust,Cannibal Holocaust,1980,\N,95,53698.0,false,"nm0166405,nm0824216",nm0219959
1757,tt0079027,Thé Dárk,The Dark,\N,1979,92,1525.0,false,nm0926247,"nm0004616,nm0001361"
1762,tt0079221,Hanky Panky,Golmaal,1979,\N,120,18804.0,true,"nm1171925,nm0080432,nm0713592",nm0611531
1770,tt0079576,More American Graffiti,,1979,\N,110,,false,"nm0636165,nm0000184,nm0441718,nm0404754",nm0636165
1779,tt0079788,Zombie Holocaust,Zombi Holocaust,1980,\N,84,5319.0,false,"nm0170354,nm0768899",nm0320946
1780,tt0079833,Lupin III: The Castle of Cagliostro,,1979,\N,100,29399.0,true,"nm0700578,nm0594503,nm1500897,nm0556856,nm0495728",nm0594503
1789,tt0080100,The Visitor,,1979,\N,108,3581.0,false,"nm0173819,nm0612736,nm0660873,nm0039890",nm0660873
1796,tt0080421,Battle Beyond the Stars,Battle Beyond the Stars,1980,\N,104,8828.0,false,"nm0000626,nm0245683","nm0000339,nm0613471"
1801,tt0080492,Can't Stop the Music,,1980,\N,124,4062.0,false,"nm0940125,nm0139591",nm0908055
1826,tt0081400,Ráisé thé Titánic,Raise the Titanic,1980,\N,115,,false,"nm0447891,nm0400591,nm0193774",nm0417054
1844,tt0082162,Chashme Buddoor,,1981,\N,145,2427.0,true,nm0660936,nm0660936
1845,tt0082183,La Chèvre,La chèvre,1981,\N,90,8746.0,true,nm0891554,nm0891554
1859,tt0082427,Thé Fúnhớúsé,,1981,\N,96,13250.0,false,nm0088746,nm0001361
1861,tt0082436,The Grilling,Garde à vue,1981,\N,87,4613.0,true,"nm0906538,nm0002218,nm0379150,nm0002192",nm0002218
1878,tt0082744,Midnight,Midnight,1982,\N,94,1019.0,false,nm0751652,nm0751652
1891,tt0082958,The Pursuit of D.B. Cooper,,1981,\N,100,1174.0,false,"nm0715461,nm0279971","nm0474539,nm0006854"
1893,tt0083006,Rớllớvér,,1981,\N,116,1222.0,false,"nm0463382,nm0787072,nm9506614",nm0001587
1937,tt0084237,The Last Unicorn,,1982,\N,92,25827.0,true,nm0063566,"nm0060072,nm0710230"
1949,tt0084477,Partners,Partners,1982,\N,93,1304.0,false,nm0891554,nm0123273
1979,tt0084934,Yol,,1982,\N,114,13274.0,true,nm0351566,"nm0351410,nm0351566"
1984,tt0085244,The Big Chill,,1983,\N,105,35691.0,true,"nm0001410,nm0070660",nm0001410
1997,tt0085461,The Dresser,The Dresser,1983,\N,118,,true,nm0367838,nm0946811
2022,tt0086011,A Night in Heaven,,1983,\N,83,1324.0,false,nm0570219,nm0000814
2027,tt0086087,Pauline at the Beach,Pauline à la plage,1983,\N,95,8826.0,true,nm0006445,nm0006445
2089,tt0087414,The Hit,,1984,\N,98,8120.0,true,nm0697701,nm0001241
2102,tt0087746,Mớrtúáry,Mortuary,1983,\N,93,2187.0,false,"nm0042849,nm0773104",nm0042849
2103,tt0087759,Murder-Rock: Dancing Death,Murderock - Uccide a passo di danza,1984,\N,93,1745.0,false,"nm0166405,nm0280984,nm0002086,nm0316363",nm0002086
2120,tt0088175,Sta se zgodi kad se ljubav rodi,Sta se zgodi kad se ljubav rodi,1984,\N,103,1129.0,true,"nm0129970,nm0548654",nm0129970
2123,tt0088224,Tank,,\N,1984,113,4269.0,false,nm0330108,nm0159007
2130,tt0088379,Thé Wárriớr ánd thé Sớrcéréss,The Warrior and the Sorceress,1984,\N,81,2008.0,false,"nm0110821,nm0832898,nm0452878,nm0644823",nm0110821
2137,tt0088782,Before Stonewall,Before Stonewall,1984,\N,87,1079.0,true,\N,"nm0771652,nm0742317"
2140,tt0088879,Il camorrista,Il camorrista,1986,\N,171,,true,"nm0211160,nm0868153,nm0550091",nm0868153
2158,tt0089308,Howling II: ... Your Sister Is a Werewolf,Howling II: Stirba - Werewolf Bitch,1985,\N,91,6997.0,false,"nm0104707,nm0765434",nm0602333
2162,tt0089420,King David,King David,1985,\N,114,2277.0,false,"nm0001949,nm0182689",nm0000915
2172,tt0089622,Morons from Outer Space,Morons from Outer Space,1985,\N,86,1891.0,false,"nm0722619,nm0809321",nm0388198
2176,tt0089746,The Funeral,Osôshiki,1984,\N,124,1231.0,true,nm0411631,nm0411631
2182,tt0089847,The Protector,,\N,1985,91,4438.0,false,"nm0322785,nm1146362",nm0322785
2201,tt0090356,Young Lady Chatterley II,,1985,\N,86,1149.0,false,"nm0930042,nm0492692",nm0003085
2204,tt0090563,Betty Blue,37°2 le matin,1986,\N,185,20578.0,true,"nm0229172,nm0000894",nm0000894
2205,tt0090565,Four Adventures of Reinette and Mirabelle,4 aventures de Reinette et Mirabelle,1987,\N,99,2597.0,true,"nm0006445,nm0591892",nm0006445
2207,tt0090579,Voyeur,Abel,1986,\N,100,2289.0,true,"nm0903796,nm0919339,nm0912334",nm0912334
2246,tt0091544,Monster in the Closet,,1986,\N,90,2588.0,false,"nm0197088,nm0074990",nm0197088
2268,tt0091990,Sorority House Massacre,,1986,\N,74,3217.0,false,nm0290867,nm0290867
2273,tt0092117,True Stories,,1986,\N,89,6427.0,true,"nm0864997,nm0377107,nm0126154",nm0126154
2278,tt0092297,Zombie Nightmare,Zombie Nightmare,1987,\N,89,3475.0,false,"nm0004591,nm0920001","nm0063851,nm0004591"
2284,tt0092558,Motherland Hotel,,1987,\N,101,3751.0,true,"nm0040521,nm0442693",nm0442693
2299,tt0092798,Critical Condition,,1987,\N,97,3400.0,false,"nm0357671,nm2200801,nm0842905",nm0000776
2306,tt0092929,Drowning by Numbers,,1988,\N,118,9937.0,true,nm0000425,nm0000425
2309,tt0093036,Flowers in the Attic,Flowers in the Attic,1987,\N,93,9959.0,false,"nm0028892,nm0089177",nm0089177
2314,tt0093111,The Grand Highway,,1987,\N,104,1556.0,true,nm0399464,nm0399464
2316,tt0093132,Hachi-ko,,1987,\N,107,5073.0,true,nm0793881,nm0477771
2348,tt0093756,Police Academy 4: Citizens on Patrol,,1987,\N,88,41984.0,false,"nm0411477,nm0698493,nm0704164,nm0087904,nm0790775",nm0236930
2359,tt0093986,Slám Dáncé,Slam Dance,1987,\N,92,1520.0,false,nm0649210,nm0911061
2378,tt0094361,You Talkin' to Me?,You Talkin' to Me?,1987,\N,97,1068.0,false,nm0935203,nm0935203
2382,tt0094594,1969,1969,1988,\N,95,3739.0,false,nm0860125,nm0860125
2389,tt0094737,Big,,1988,\N,104,210527.0,true,"nm0002657,nm0818576",nm0001508
2391,tt0094794,The Brain,,1988,\N,94,2397.0,false,nm0669192,nm0402434
2392,tt0094799,"Bright Lights, Big City",,1988,\N,107,,false,nm0570557,nm0108745
2394,tt0094813,Bulletproof,Bulletproof,1987,\N,93,1344.0,false,"nm0486906,nm0676248,nm0325740",nm0142587
2416,tt0095262,Mobile Suit Gundam: Char's Counterattack,Kidô Senshi Gundam: Gyakushû no Shâ,1988,\N,124,1573.0,true,nm0866707,nm0866707
2427,tt0095467,A Short Film About Love,Krótki film o milosci,1988,\N,87,21976.0,true,"nm0001425,nm0682830",nm0001425
2430,tt0095497,Thé Lást Témptátiớn ớf Christ,The Last Temptation of Christ,1988,\N,164,55361.0,true,"nm0443611,nm0001707",nm0000217
2431,tt0095511,Lá léctricé,,1988,\N,99,1610.0,true,"nm0419875,nm0222553,nm0222545",nm0222545
2448,tt0095953,Rain Man,Rain Man,1988,\N,133,,true,"nm0607454,nm0060103",nm0001469
2453,tt0096037,Satisfaction,,1988,\N,92,3514.0,false,"nm0700942,nm12581086",nm0293445
2480,tt0097174,Deathstalker and the Warriors from Hell,Deathstalker and the Warriors from Hell,1988,\N,86,,false,nm0169438,nm0180541
2487,tt0097263,Edge of Sanity,,1989,\N,85,1457.0,false,"nm0299650,nm0707696,nm0800692,nm0829044",nm0048158
2521,tt0097940,Mystéry Tráin,,1989,\N,110,27376.0,true,nm0000464,nm0000464
2537,tt0098319,Shirley Valentine,,\N,1989,108,7768.0,true,nm0751516,nm0318150
2565,tt0099395,Def by Temptation,Def by Temptation,1990,\N,95,1550.0,false,nm0093875,nm0093875
2583,tt0099785,Home Alone,Home Alone,1990,\N,103,522658.0,true,nm0000455,nm0001060
2597,tt0100151,Mindwálk,Mindwalk,1990,\N,112,3034.0,true,"nm0003464,nm0125698,nm0135586",nm0003464
2604,tt0100332,Paris Is Burning,Paris Is Burning,1990,\N,71,14395.0,true,\N,nm0515255
2642,tt0101660,The Dark Backward,The Dark Backward,1991,\N,101,3660.0,false,nm0726472,nm0726472
2644,tt0101698,Défénding Yớúr Lifé,,1991,\N,112,18397.0,true,nm0000983,nm0000983
2649,tt0101775,Drop Dead Fred,Drop Dead Fred,1991,\N,103,28135.0,false,"nm1228100,nm0204313,nm0277759",nm0429517
2655,tt0102011,"He Said, She Said","He Said, She Said",1991,\N,115,6876.0,false,nm0389830,"nm0477129,nm0798749"
2657,tt0102095,If Looks Could Kill,If Looks Could Kill,1991,\N,88,6914.0,false,"nm0215269,nm0823015",nm0213100
2665,tt0102388,The Man in the Moon,The Man in the Moon,1991,\N,99,16319.0,true,nm0935053,nm0612322
2671,tt0102583,"Olivier, Olivier","Olivier, Olivier",1992,\N,110,1756.0,true,"nm0002140,nm0487697,nm0213535",nm0002140
2680,tt0102816,Center Stage,,1991,\N,126,2068.0,true,"nm0156994,nm0158402",nm0477102
2691,tt0103077,There's Nothing Out There,,1991,\N,91,1536.0,false,nm0437490,nm0437490
2716,tt0104028,The Black Bomber,,1992,\N,116,3185.0,true,"nm0048037,nm0054720",nm0048037
2731,tt0104605,Khiladi,Khiladi,1992,\N,157,7963.0,true,"nm1104579,nm0451314,nm1031548","nm0122217,nm0122216"
2733,tt0104658,L.627,L.627,1992,\N,145,1927.0,true,"nm0018875,nm0851724",nm0851724
2746,tt0104837,Méátbálls 4,,1992,\N,84,2336.0,false,nm0517514,nm0517514
2751,tt0105046,Of Mice and Men,,1992,\N,115,42645.0,true,"nm0825705,nm0285210",nm0000641
2753,tt0105089,The Panama Deception,,1992,\N,91,1078.0,true,nm0440722,nm0872134
2754,tt0105104,Pásséngér 57,,1992,\N,84,47083.0,false,"nm0706296,nm0330108,nm0521739",nm0393661
2759,tt0105185,Pigs,,1992,\N,104,,true,nm0664582,nm0664582
2766,tt0105438,Dream of Light,,1992,\N,133,,true,"nm0258977,nm0529840",nm0258977
2770,tt0105526,The Taking of Beverly Hills,,1991,\N,96,1197.0,false,"nm0002089,nm0622355,nm0298207,nm0121653",nm0002089
2775,tt0105652,Pushing Hands,Tui shou,1991,\N,105,4074.0,true,"nm0000487,nm0770005",nm0000487
2778,tt0105764,Visions of Light,,\N,1992,92,3175.0,true,nm0565342,"nm0565342,nm0760523,nm0322083"
2808,tt0106761,Double Dragon,Double Dragon,1994,\N,96,13118.0,false,"nm0227704,nm0795990,nm0205157,nm0332467",nm0950819
2811,tt0106877,Father Hood,Father Hood,1993,\N,95,3102.0,false,nm0818098,nm0740213
